0115_01C-M,0115_02C-M,0115_03C-M,0115_04C-M,0116_05C-M,0115_06C-M,0116_01C-M,0116_02C-M,0116_03C-M,0116_04C-M,0115_05C-M,0116_06C-M,0117_01C-M,0117_02C-M,0117_03C-M,0117_04C-M,0117_05C-M,0117_06C-M,0118_01C-M,0118_02C-M,0118_03C-M,0118_04C-M,0118_05C-M,0118_06C-M,0119_01C-M,0119_02C-M,0119_03C-M,0119_04C-M,0119_05C-M,0119_06C-M,0120_01C-M,0120_02C-M,0120_03C-M,0120_04C-M,0120_05C-M,0120_06C-M,0121_01C-M,0121_02C-M,0121_03C-M,0121_04C-M,0121_05C-M,0121_06C-M,0122_01C-M,0122_02C-M,0122_03C-M,0122_04C-M,0122_05C-M,0122_06C-M,0123_01C-M,0123_02C-M,0123_03C-M,0124_09C-M,0123_05C-M,0123_06C-M,0124_01C-M,0124_02C-M,0124_03C-M,0124_04C-M,0124_05C-M,0124_06C-M,0115_01F-M,0115_02F-M,0115_03F-M,0115_04F-M,0116_05F-M,0115_06F-M,0116_01F-M,0116_02F-M,0116_03F-M,0116_04F-M,0115_05F-M,0116_06F-M,0117_01F-M,0117_02F-M,0117_03F-M,0117_04F-M,0117_05F-M,0117_06F-M,0118_01F-M,0118_02F-M,0118_03F-M,0118_04F-M,0118_05F-M,0118_06F-M,0119_01F-M,0119_02F-M,0119_03F-M,0119_04F-M,0119_05F-M,0119_06F-M,0120_01F-M,0120_02F-M,0120_03F-M,0120_04F-M,0120_05F-M,0120_06F-M,0121_01F-M,0121_02F-M,0121_03F-M,0121_04F-M,0121_05F-M,0121_06F-M,0122_01F-M,0122_02F-M,0122_03F-M,0122_04F-M,0122_05F-M,0122_06F-M,0123_01F-M,0123_02F-M,0123_03F-M,0124_09F-M,0123_05F-M,0123_06F-M,0124_01F-M,0124_02F-M,0124_03F-M,0124_04F-M,0124_05F-M,0124_06F-M,0115_01I-M,0115_02I-M,0115_03I-M,0115_04I-M,0116_05I-M,0115_06I-M,0116_01I-M,0116_02I-M,0116_03I-M,0116_04I-M,0115_05I-M,0116_06I-M,0117_01I-M,0117_02I-M,0117_03I-M,0117_04I-M,0117_05I-M,0117_06I-M,0118_01I-M,0118_02I-M,0118_03I-M,0118_04I-M,0118_05I-M,0118_06I-M,0119_01I-M,0119_02I-M,0119_04I-M,0119_05I-M,0119_06I-M,0120_01I-M,0120_02I-M,0120_03I-M,0120_04I-M,0120_05I-M,0120_06I-M,0121_01I-M,0121_02I-M,0121_03I-M,0121_04I-M,0121_05I-M,0121_06I-M,0122_01I-M,0122_02I-M,0122_03I-M,0122_04I-M,0122_05I-M,0122_06I-M,0123_01I-M,0123_02I-M,0123_03I-M,0124_09I-M,0123_05I-M,0123_06I-M,0124_01I-M,0124_02I-M,0124_03I-M,0124_04I-M,0124_05I-M,0124_06I-M,OTU
401.0,1543.0,62.0,147.0,9.0,58.0,77.0,138.0,526.0,56.0,52.0,126.0,98.0,80.0,59.0,2711.0,48.0,240.0,126.0,153.0,159.0,114.0,96.0,144.0,281.0,495.0,164.0,56.0,172.0,75.0,121.0,97.0,112.0,549.0,113.0,112.0,38.0,102.0,46.0,35.0,145.0,59.0,21.0,43.0,252.0,960.0,97.0,78.0,65.0,0.0,52.0,388.0,123.0,111.0,150.0,91.0,87.0,80.0,1234.0,215.0,1156.0,762.0,53.0,162.0,1185.0,192.0,88.0,1776.0,8018.0,87.0,293.0,2855.0,3074.0,3960.0,794.0,8026.0,2551.0,11459.0,1945.0,2130.0,1665.0,1144.0,2445.0,2648.0,345.0,1138.0,506.0,599.0,33.0,12024.0,1188.0,2501.0,156.0,2764.0,1181.0,2652.0,4921.0,361.0,134.0,1100.0,2345.0,4493.0,3734.0,79.0,246.0,56.0,2140.0,9586.0,212.0,81.0,129.0,141.0,931.0,3724.0,5505.0,2592.0,3829.0,3393.0,76.0,1459.0,2054.0,1271.0,21.0,191.0,709.0,95.0,55.0,1920.0,11291.0,74.0,121.0,1511.0,2219.0,655.0,421.0,20852.0,2162.0,4081.0,2599.0,231.0,2805.0,739.0,3139.0,4812.0,11011.0,767.0,314.0,192.0,18153.0,7927.0,2928.0,8657.0,839.0,1008.0,3451.0,537.0,6329.0,311.0,217.0,10855.0,22672.0,2074.0,483.0,656.0,173.0,1408.0,3016.0,438.0,95.0,63.0,290.0,9323.0,7300.0,4743.0,1376.0,82.0,416.0,0.0,6232.0,45d4fe3f6c01f77c2dfc11dd91d3359a
38.0,359.0,40.0,48.0,17.0,37.0,39.0,71.0,82.0,31.0,0.0,36.0,104.0,42.0,37.0,257.0,28.0,389.0,50.0,71.0,171.0,67.0,0.0,53.0,44.0,105.0,44.0,80.0,0.0,47.0,78.0,26.0,124.0,327.0,91.0,361.0,79.0,40.0,22.0,65.0,39.0,26.0,0.0,27.0,46.0,274.0,129.0,83.0,49.0,0.0,31.0,1195.0,10.0,82.0,0.0,47.0,44.0,346.0,201.0,55.0,172.0,485.0,1255.0,112.0,1409.0,5505.0,1978.0,5382.0,302.0,1673.0,1838.0,5322.0,1582.0,20170.0,1935.0,3109.0,1407.0,1873.0,342.0,5964.0,5800.0,20831.0,5833.0,4921.0,70.0,5940.0,954.0,4363.0,83.0,5040.0,805.0,1547.0,113.0,4681.0,5911.0,944.0,520.0,275.0,4319.0,4890.0,179.0,146.0,3015.0,37.0,96.0,1188.0,2777.0,8558.0,577.0,2342.0,3139.0,1383.0,15.0,2253.0,86.0,2564.0,113.0,322.0,2469.0,142.0,405.0,1345.0,70.0,132.0,182.0,2559.0,2909.0,3117.0,248.0,454.0,4830.0,5372.0,3130.0,3085.0,380.0,8565.0,1318.0,2135.0,400.0,833.0,5075.0,8250.0,7679.0,1058.0,736.0,11640.0,2184.0,202.0,1087.0,5002.0,1575.0,5939.0,196.0,3803.0,1797.0,218.0,403.0,773.0,1670.0,948.0,409.0,1603.0,215.0,218.0,299.0,727.0,4989.0,556.0,2830.0,1160.0,140.0,112.0,2738.0,104.0,6073.0,50.0,10726.0,894.0,405.0,0df6c802966e8670279671824da4f10a
135.0,201.0,147.0,91.0,0.0,144.0,104.0,84.0,153.0,190.0,64.0,187.0,85.0,66.0,37.0,117.0,50.0,273.0,76.0,85.0,105.0,37.0,38.0,82.0,36.0,159.0,36.0,92.0,53.0,78.0,92.0,65.0,124.0,39.0,184.0,117.0,64.0,51.0,78.0,72.0,36.0,64.0,44.0,78.0,94.0,142.0,71.0,101.0,152.0,0.0,182.0,8349.0,46.0,130.0,90.0,52.0,141.0,121.0,244.0,293.0,1395.0,354.0,2022.0,169.0,494.0,312.0,619.0,1906.0,202.0,1457.0,2225.0,2422.0,1073.0,8137.0,309.0,219.0,173.0,3416.0,141.0,169.0,136.0,522.0,1152.0,327.0,76.0,447.0,36.0,1233.0,21.0,3158.0,226.0,263.0,58.0,150.0,1484.0,130.0,1271.0,218.0,3578.0,3589.0,456.0,239.0,787.0,479.0,150.0,532.0,500.0,9179.0,976.0,2489.0,3838.0,1176.0,25.0,1178.0,363.0,437.0,292.0,626.0,1274.0,122.0,2475.0,248.0,795.0,137.0,451.0,146.0,1103.0,7126.0,694.0,2402.0,2508.0,2705.0,3858.0,3473.0,156.0,559.0,150.0,1000.0,380.0,69.0,316.0,1689.0,11733.0,736.0,292.0,1021.0,4277.0,109.0,320.0,889.0,29.0,1818.0,91.0,2058.0,62.0,744.0,2072.0,7079.0,11423.0,3230.0,882.0,888.0,7546.0,254.0,5031.0,1460.0,1470.0,13530.0,6076.0,1371.0,10325.0,271.0,12049.0,681.0,6566.0,1120.0,1141.0,642.0,334.0,2ef1e51ab1cf99a3c6417b05a060830e
45.0,48.0,50.0,42.0,0.0,52.0,59.0,50.0,54.0,33.0,38.0,34.0,25.0,31.0,30.0,41.0,29.0,66.0,58.0,41.0,48.0,19.0,25.0,50.0,29.0,0.0,17.0,30.0,38.0,43.0,58.0,32.0,77.0,30.0,61.0,51.0,33.0,31.0,23.0,18.0,33.0,0.0,0.0,0.0,65.0,49.0,35.0,35.0,38.0,0.0,23.0,208.0,0.0,71.0,21.0,37.0,56.0,54.0,40.0,59.0,112.0,25.0,38.0,41.0,59.0,47.0,21.0,78.0,77.0,64.0,51.0,77.0,41.0,198.0,52.0,85.0,67.0,210.0,44.0,93.0,82.0,129.0,67.0,66.0,49.0,44.0,21.0,55.0,0.0,253.0,39.0,48.0,33.0,64.0,60.0,62.0,288.0,16.0,80.0,97.0,49.0,58.0,59.0,43.0,65.0,28.0,42.0,237.0,21.0,40.0,61.0,23.0,0.0,96.0,63.0,38.0,50.0,152.0,35.0,0.0,52.0,61.0,16.0,0.0,66.0,22.0,48.0,118.0,131.0,41.0,52.0,83.0,65.0,59.0,17.0,169.0,63.0,83.0,126.0,0.0,98.0,212.0,176.0,110.0,150.0,84.0,68.0,42.0,177.0,49.0,20.0,172.0,48.0,61.0,55.0,119.0,88.0,110.0,111.0,156.0,218.0,35.0,79.0,58.0,53.0,41.0,77.0,159.0,39.0,30.0,79.0,103.0,155.0,20.0,120.0,51.0,90.0,0.0,112.0,40874d61006874f7c87d904707d320d9
19.0,21.0,0.0,25.0,0.0,0.0,27.0,0.0,15.0,14.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,30.0,31.0,15.0,10.0,22.0,0.0,0.0,0.0,17.0,0.0,19.0,0.0,17.0,30.0,0.0,23.0,0.0,11.0,15.0,0.0,0.0,0.0,23.0,0.0,16.0,21.0,40.0,0.0,19.0,23.0,0.0,14.0,107.0,0.0,33.0,0.0,21.0,0.0,25.0,31.0,43.0,41.0,0.0,24.0,36.0,32.0,0.0,0.0,60.0,62.0,24.0,36.0,32.0,37.0,116.0,25.0,44.0,33.0,87.0,23.0,58.0,50.0,58.0,32.0,52.0,0.0,0.0,33.0,45.0,0.0,117.0,0.0,0.0,17.0,39.0,45.0,59.0,140.0,0.0,59.0,51.0,0.0,20.0,50.0,0.0,39.0,0.0,0.0,122.0,0.0,37.0,0.0,0.0,0.0,57.0,0.0,18.0,31.0,95.0,0.0,0.0,53.0,29.0,0.0,0.0,53.0,0.0,0.0,64.0,57.0,0.0,0.0,45.0,63.0,39.0,0.0,76.0,45.0,46.0,58.0,0.0,50.0,119.0,99.0,62.0,72.0,92.0,74.0,44.0,95.0,42.0,0.0,95.0,34.0,41.0,32.0,96.0,52.0,55.0,112.0,75.0,109.0,35.0,98.0,48.0,51.0,21.0,55.0,91.0,46.0,0.0,28.0,63.0,100.0,0.0,81.0,65.0,59.0,0.0,47.0,c6c3ab4e828fb40d6e05967b7aac9338
295.0,190.0,205.0,193.0,19.0,32.0,19.0,184.0,45.0,206.0,34.0,320.0,59.0,301.0,46.0,410.0,500.0,102.0,73.0,66.0,237.0,219.0,325.0,750.0,404.0,234.0,18.0,25.0,965.0,617.0,284.0,134.0,291.0,57.0,65.0,683.0,24.0,150.0,27.0,20.0,24.0,295.0,79.0,11.0,23.0,303.0,131.0,52.0,80.0,2.0,13.0,3645.0,419.0,94.0,9.0,12.0,478.0,24.0,138.0,848.0,1100.0,762.0,131.0,104.0,18.0,12.0,37.0,19.0,151.0,90.0,301.0,88.0,602.0,184.0,1286.0,145.0,1375.0,2131.0,565.0,132.0,1082.0,38.0,839.0,704.0,331.0,147.0,3342.0,5.0,2404.0,433.0,3532.0,3097.0,87.0,717.0,24.0,8489.0,810.0,9.0,52.0,159.0,2477.0,196.0,1614.0,7.0,302.0,4480.0,266.0,681.0,261.0,97.0,19.0,6.0,40.0,385.0,985.0,0.0,1824.0,194.0,22.0,102.0,13.0,47.0,11.0,69.0,34.0,0.0,4.0,34.0,104.0,2203.0,52.0,12.0,22.0,8.0,26.0,160.0,270.0,119.0,1062.0,17.0,1045.0,68.0,276.0,700.0,2740.0,37.0,24.0,5582.0,1154.0,1317.0,1953.0,78.0,6867.0,13.0,4640.0,537.0,202.0,20.0,75.0,972.0,381.0,382.0,38.0,15.0,161.0,451.0,15.0,197.0,14.0,9.0,33.0,170.0,317.0,164.0,54.0,5401.0,108.0,0.0,638.0,d46e2205f0c6ecf67b51f83d111c509c
0.0,0.0,25.0,38.0,0.0,18.0,0.0,27.0,36.0,15.0,14.0,29.0,0.0,16.0,21.0,15.0,13.0,26.0,24.0,22.0,36.0,0.0,18.0,17.0,13.0,8.0,0.0,8.0,0.0,16.0,0.0,21.0,34.0,0.0,42.0,31.0,10.0,0.0,18.0,0.0,0.0,17.0,13.0,0.0,26.0,0.0,11.0,15.0,13.0,0.0,36.0,196.0,0.0,38.0,0.0,0.0,25.0,21.0,0.0,45.0,65.0,702.0,1144.0,1395.0,1737.0,618.0,34.0,36.0,101.0,51.0,69.0,179.0,43.0,107.0,1376.0,167.0,1187.0,2101.0,1930.0,412.0,71.0,45.0,30.0,328.0,25.0,73.0,70.0,51.0,0.0,2999.0,0.0,45.0,0.0,70.0,46.0,331.0,996.0,65.0,252.0,1693.0,79.0,246.0,79.0,40.0,481.0,61.0,27.0,146.0,53.0,405.0,635.0,45.0,18.0,316.0,26.0,19.0,226.0,266.0,17.0,2020.0,51.0,2139.0,1209.0,1541.0,3637.0,206.0,63.0,272.0,722.0,1706.0,26.0,127.0,68.0,37.0,632.0,1808.0,2849.0,2323.0,5839.0,264.0,2348.0,10576.0,23.0,3141.0,4726.0,126.0,200.0,442.0,1931.0,66.0,167.0,826.0,408.0,83.0,24.0,7417.0,273.0,2108.0,469.0,227.0,684.0,57.0,260.0,4414.0,76.0,396.0,35.0,855.0,893.0,785.0,264.0,136.0,1042.0,0.0,717.0,506.0,1733.0,20.0,2917.0,f5a804d142e6d51705b5e75147cfdaf8
227.0,28.0,3797.0,548.0,34.0,113.0,272.0,706.0,64.0,400.0,45.0,875.0,952.0,184.0,66.0,217.0,138.0,0.0,1597.0,433.0,189.0,1100.0,122.0,132.0,172.0,49.0,33.0,1177.0,1852.0,106.0,285.0,21.0,377.0,41.0,552.0,911.0,444.0,1150.0,101.0,1910.0,275.0,6278.0,189.0,83.0,90.0,125.0,91.0,1885.0,364.0,1857.0,527.0,2156.0,651.0,134.0,1362.0,1038.0,278.0,61.0,252.0,1089.0,683.0,8.0,0.0,13.0,0.0,0.0,23.0,19.0,0.0,94.0,14.0,52.0,0.0,0.0,0.0,32.0,0.0,90.0,0.0,26.0,35.0,46.0,0.0,33.0,329.0,15.0,0.0,0.0,218.0,510.0,20.0,28.0,332.0,38.0,28.0,47.0,103.0,22.0,20.0,42.0,39.0,460.0,19.0,178.0,131.0,0.0,36.0,79.0,0.0,0.0,23.0,13.0,0.0,128.0,18.0,42.0,0.0,175.0,13.0,16.0,0.0,20.0,0.0,10.0,20.0,0.0,0.0,38.0,0.0,0.0,17.0,0.0,0.0,29.0,10.0,39.0,25.0,114.0,106.0,0.0,31.0,76.0,0.0,41.0,55.0,31.0,30.0,18.0,83.0,0.0,8.0,71.0,0.0,0.0,20.0,59.0,66.0,0.0,22.0,52.0,88.0,0.0,30.0,40.0,23.0,15.0,0.0,0.0,0.0,0.0,27.0,0.0,143.0,0.0,47.0,25.0,33.0,0.0,21.0,e0fc7e9a421580cbfcfa30cfa0917791
54.0,140.0,0.0,274.0,1409.0,617.0,2824.0,3293.0,20.0,61.0,701.0,1086.0,205.0,8.0,179.0,1183.0,58.0,1926.0,11.0,174.0,0.0,0.0,43.0,15.0,0.0,99.0,9.0,1351.0,109.0,96.0,657.0,442.0,9.0,2325.0,377.0,432.0,880.0,561.0,84.0,149.0,1075.0,83.0,141.0,826.0,12.0,1047.0,236.0,350.0,4.0,335.0,106.0,23858.0,942.0,2332.0,39.0,2806.0,13.0,1681.0,0.0,1058.0,531.0,0.0,0.0,7.0,0.0,0.0,23.0,11.0,0.0,201.0,11.0,51.0,0.0,22.0,0.0,0.0,0.0,29.0,0.0,0.0,12.0,16.0,10.0,9.0,17.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,505.0,9.0,25.0,38.0,0.0,7.0,20.0,10.0,0.0,21.0,88.0,13.0,0.0,40.0,39.0,0.0,0.0,12.0,52.0,123.0,1276.0,11.0,101.0,0.0,25.0,0.0,0.0,11.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,16.0,0.0,18.0,29.0,38.0,0.0,39.0,0.0,10.0,0.0,27.0,11.0,0.0,25.0,6.0,0.0,0.0,13.0,0.0,15.0,0.0,28.0,0.0,0.0,23.0,0.0,0.0,0.0,11.0,22.0,6.0,0.0,7.0,0.0,42.0,0.0,20.0,6.0,0.0,0.0,0.0,08a0cf376add32f3f4b57ec1e82a7a27
25.0,15.0,22.0,32.0,0.0,26.0,32.0,0.0,31.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,28.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,21.0,0.0,0.0,78.0,0.0,0.0,0.0,17.0,25.0,21.0,23.0,27.0,42.0,11.0,24.0,0.0,0.0,26.0,0.0,38.0,21.0,0.0,17.0,33.0,17.0,59.0,0.0,39.0,25.0,58.0,20.0,0.0,0.0,0.0,24.0,24.0,35.0,0.0,13.0,17.0,11.0,84.0,0.0,37.0,24.0,37.0,21.0,24.0,81.0,0.0,37.0,26.0,27.0,15.0,18.0,0.0,41.0,0.0,0.0,71.0,0.0,33.0,37.0,0.0,0.0,31.0,26.0,11.0,18.0,57.0,0.0,0.0,28.0,0.0,0.0,0.0,34.0,0.0,0.0,64.0,47.0,26.0,0.0,24.0,16.0,27.0,0.0,48.0,16.0,28.0,30.0,0.0,35.0,88.0,61.0,45.0,44.0,33.0,32.0,17.0,44.0,15.0,0.0,53.0,0.0,28.0,0.0,57.0,0.0,43.0,43.0,48.0,69.0,0.0,31.0,24.0,17.0,0.0,21.0,67.0,0.0,0.0,23.0,18.0,66.0,0.0,46.0,22.0,45.0,0.0,0.0,8d703908c09c7cb0da2a4398dd74f9f8
