Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,SciName
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,45d4fe3f6c01f77c2dfc11dd91d3359a,Lactobacillus UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,0df6c802966e8670279671824da4f10a,Lactobacillus UNKNOWN
Bacteria,Firmicutes,Bacilli,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2ef1e51ab1cf99a3c6417b05a060830e,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,UNKNOWN,40874d61006874f7c87d904707d320d9,Clostridium_sensu_stricto_1 UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,UNKNOWN,c6c3ab4e828fb40d6e05967b7aac9338,Blautia UNKNOWN
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,UNKNOWN,d46e2205f0c6ecf67b51f83d111c509c,Escherichia-Shigella UNKNOWN
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,UNKNOWN,f5a804d142e6d51705b5e75147cfdaf8,Corynebacterium UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,UNKNOWN,e0fc7e9a421580cbfcfa30cfa0917791,Subdoligranulum UNKNOWN
Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Megamonas,UNKNOWN,08a0cf376add32f3f4b57ec1e82a7a27,Megamonas UNKNOWN
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Terrisporobacter,UNKNOWN,8d703908c09c7cb0da2a4398dd74f9f8,Terrisporobacter UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,UNKNOWN,9639a3291729a3758207b47715d9205f,Subdoligranulum UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,3bac14d2805bf995afe9d316a5777b1e,Lactobacillus UNKNOWN
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Sarcina,UNKNOWN,37f004671c936285c26471120596b2f5,Sarcina UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,UNKNOWN,9908fffab7ed4f3bec44cda2f5084d49,Enterococcus UNKNOWN
Bacteria,Firmicutes,Bacilli,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2f8ad4365632e4a05d8897ac4ee70b3a,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,UNKNOWN,c48070f3061b086b60ff32f77e0002fa,Subdoligranulum UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,d7c346759a906a965b96e9b965f028d0,Lactobacillus UNKNOWN
Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Megasphaera,UNKNOWN,44158349d8858abc6c04aada0c131da5,Megasphaera UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,e147f17187ee6e0d8e84bdd370bfb053,Lactobacillus UNKNOWN
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,UNKNOWN,fe5b867a508c1fe71eac03b2d7d41488,Corynebacterium UNKNOWN
Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,UNKNOWN,4b390824ebb0af53b30f8dc094cbbf51,Bifidobacterium UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,UNKNOWN,adf93266d91193991bd30332b49d6a1f,Subdoligranulum UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,UNKNOWN,54239c6454a6a3d3a48e90a79744afb7,Subdoligranulum UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus]_torques_group,UNKNOWN,25b60da8f1af462e61067fc3545e8efb,[Ruminococcus]_torques_group UNKNOWN
Bacteria,Firmicutes,Bacilli,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,bd7bb5b11e9ccba1afbf45d9e0d5808a,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,UNKNOWN,6a4f354262a6fbad12de693585b4e7f1,Subdoligranulum UNKNOWN
Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_canadensis,740d90e488e102d30a456e0be1424529,Campylobacter Campylobacter_canadensis
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,UNKNOWN,75d0bafe93e5796cb5924fb44c9b3cf4,Dietzia UNKNOWN
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,UNKNOWN,8e26c464be5f4a95cd92a92cd6e3da23,Holdemanella UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,b844d187b561c8a1097bde1f811b083b,Lactobacillus UNKNOWN
Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,UNKNOWN,a9b24370bdb02a8ee91855de7b8b2813,Bifidobacterium UNKNOWN
Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_canadensis,bf35f4019fc184fb342f34cc388ae989,Campylobacter Campylobacter_canadensis
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Mogibacterium,UNKNOWN,5c68ef2fd4b94cf4e302d4c8e2ef1fe1,Mogibacterium UNKNOWN
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,UNKNOWN,922d33a2963d3e87a3d4df6b82371235,Staphylococcus UNKNOWN
Bacteria,Firmicutes,Bacilli,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1a069ea36017c7efc95d851374fa7382,UNKNOWN UNKNOWN
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,UNKNOWN,fd44d4cb468fd7dc9b3227867714ed87,Bacteroides UNKNOWN
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,UNKNOWN,d4617353f34d3016a88c2c655d1f4277,Catenisphaera UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,UNKNOWN,UNKNOWN,6348584315770e0d041c8543e15394f1,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerosporobacter,Caecibacterium_sporoformans,6794caffaf6122c413a2996c8c76f92d,Anaerosporobacter Caecibacterium_sporoformans
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,05e6b192274e74366be09fe30b179b91,Lactobacillus UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,f72aedc63a53047a147ebb0e743b7864,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_6,Clostridium_bornimense,fef6d2ec7f7bf8bda7e0d4b68acef3b3,Clostridium_sensu_stricto_6 Clostridium_bornimense
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,dd53765e55758f566920034403f46897,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,79c28c77327e355fb81dce890c619793,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella_jogaejeotgali,b03b93c61ab4826f1bb2fc79847d4420,Weissella Weissella_jogaejeotgali
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,UNKNOWN,09d97c48eaf0fcd502d2114d696c9434,Catenisphaera UNKNOWN
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,UNKNOWN,69a11f927915e2a3ba1f7b9c84486527,Parasutterella UNKNOWN
Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,UNKNOWN,24cb328c9fd7acc137e16d564d2da79b,Campylobacter UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,CHKCI001,UNKNOWN,aee18d988eeaf2de8d6e9e088f6d24f8,CHKCI001 UNKNOWN
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,UNKNOWN,9acb555d3c5dd77e9035a661e7ad1bb6,Clostridium_sensu_stricto_1 UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,0804a76671e454da0386345f83fde59b,Lactobacillus UNKNOWN
Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,UNKNOWN,cb1c6b2a65a978f942ed88a1a18a647d,Campylobacter UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,UNKNOWN,c2b21f1d8e071fda68a09853a8cdcfdd,Faecalibacterium UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium]_hallii_group,UNKNOWN,7c861f48eaca9c2cacdb0470b609b1d4,[Eubacterium]_hallii_group UNKNOWN
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,UNKNOWN,96cf4779be686036f92ee15e58b72d52,Phascolarctobacterium UNKNOWN
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,UNKNOWN,c72360e304518f898d28f7ed166fac72,Methanobrevibacter UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,UNKNOWN,735cb9abbbc8ff2b5b354be608a3a869,Streptococcus UNKNOWN
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,UNKNOWN,3675dce5a2101536c0a40a03db47976d,Corynebacterium UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,d65bc04fb91f8a1c29cda7df2d15eb49,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,CHKCI001,UNKNOWN,664d7ec2732a1ad4ddad8a47483facec,CHKCI001 UNKNOWN
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,UNKNOWN,1f2b5687f00420696fd984dc54ab9648,Solobacterium UNKNOWN
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,UNKNOWN,9779047fe3d2832e9cf6d9c2ca7f3231,Methanobrevibacter UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,cdeff24c9395662c2e17faaf9ce3db64,Lactobacillus UNKNOWN
Bacteria,Firmicutes,Bacilli,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,764fed1d67d001a0a2053d8d4c4526f7,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,UNKNOWN,932965d7ed2166402b521fea7a1029a4,Blautia UNKNOWN
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,UNKNOWN,UNKNOWN,UNKNOWN,656fc22d077cc5d6ef83285bcd081cbe,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,3d7262c8518a22a3315fc9fd8e2f2682,UNKNOWN UNKNOWN
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,UNKNOWN,35cbb315e019e0a8768d4b73862df415,Collinsella UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Negativibacillus,UNKNOWN,a9c65f22ab35a2635324961ee4e44023,Negativibacillus UNKNOWN
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,UNKNOWN,f86fbf7516e48acb01dc91aa382237f1,Cetobacterium UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,UNKNOWN,18761e1bf0c321f223c9e29c96a4e1dc,Blautia UNKNOWN
